Anno,Quartiere,NIL,Uomini,Donne,Totale,Minori,Stranieri,Famiglie,Famiglie unipersonali,80 e più soli,Nati,Morti,Emigrati,Immigrati,80 e più,65 e più,Scuola dell'infanzia (numero),Scuola primaria (numero),Scuola secondaria di primo grado (numero),Area (metri quadrati),fermate linee superficie,fermate metro,piste ciclabili (m)
2012,Porta Romana,27,7830,8819,16649,2295,2085,8356,3800,537,156,147,543,641,1048,3479,1,2,1,1002793 .53,36,1,420
2012,Portello,67,3612,4129,7741,1062,785,3913,1737,399,56,86,167,222,799,2186,3,3,0,909636 .6,22,0,0
2012,QT 8,66,1856,2248,4104,621,430,1974,815,229,40,61,101,82,466,1108,3,2,1,1024437 .42,18,1,917
2012,Quarto Cagnino,61,4677,4933,9610,1434,939,4621,1894,242,53,83,173,198,554,2506,3,1,1,986391 .48,29,0,630
2012,Quarto Oggiaro,76,15442,16644,32086,5308,6981,15726,6921,1156,260,376,876,850,2435,7300,7,5,3,2778263 .75,47,2,840
2012,Quinto Romano,62,2422,2515,4937,692,448,2380,976,115,32,51,130,88,232,1102,1,1,0,1645859 .77,19,0,1680
2012,Quintosole,39,509,174,683,72,121,177,96,6,2,5,66,78,10,80,0,0,0,1057528 .77,4,0,0
2012,Ripamonti,38,6718,7091,13809,2129,1659,6611,2537,385,109,125,328,428,809,3504,4,2,1,1853233 .5,34,0,930
2012,Rogoredo,33,4766,4538,9304,1758,1619,4573,2034,205,129,60,257,391,379,1312,2,1,1,1200161 .64,8,0,0
2012,Ronchetto delle Rane,40,402,378,780,196,127,313,95,14,6,1,12,5,26,88,0,0,0,188870 .6,1,0,0
2012,Ronchetto sul Naviglio,48,7082,7688,14770,2002,1865,7451,3223,455,100,155,401,451,985,4104,4,4,3,2406775 .2,39,0,4430
2012,S. Cristoforo,45,6387,6809,13196,1933,2434,7106,3653,398,105,126,407,512,776,2969,5,1,1,1596174 .14,37,0,4200
2012,S. Siro,60,6354,6814,13168,2506,2696,5902,1998,352,88,115,353,415,875,2869,7,9,4,3435307 .37,65,0,0
2012,Sacco,74,141,117,258,39,45,119,45,2,3,0,12,2,10,48,0,0,0,708465 .8,4,0,2204
2012,Sarpi,69,13806,16062,29868,4641,5382,14667,6736,997,303,267,841,1146,2058,6228,4,4,3,1811914 .53,70,0,0
